"","LotConfig","LandSlope","Neighborhood","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"1","Inside","Gtl","CollgCr","Norm","1Fam","2Story",7,5,2003,2003,"Gable","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","TA","No","GLQ",0,150,856,"GasA","Ex","Y","SBrkr",856,854,0,1710,1,0,2,1,3,1,"Gd",8,"Typ","Po","Attchd",2003,"RFn",2,548,"TA","Y",0,61,0,0,0,2,2008,"WD","Normal",208500
"2","FR2","Gtl","Veenker","Norm","1Fam","1Story",6,8,1976,1976,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",0,284,1262,"GasA","Ex","Y","SBrkr",1262,0,0,1262,0,1,2,0,3,1,"TA",6,"Typ","TA","Attchd",1976,"RFn",2,460,"TA","Y",298,0,0,0,0,5,2007,"WD","Normal",181500
"3","Inside","Gtl","CollgCr","Norm","1Fam","2Story",7,5,2001,2002,"Gable","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA","Mn","GLQ",0,434,920,"GasA","Ex","Y","SBrkr",920,866,0,1786,1,0,2,1,3,1,"Gd",6,"Typ","TA","Attchd",2001,"RFn",2,608,"TA","Y",0,42,0,0,0,9,2008,"WD","Normal",223500
"4","Corner","Gtl","Crawfor","Norm","1Fam","2Story",7,5,1915,1970,"Gable","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","ALQ",0,540,756,"GasA","Gd","Y","SBrkr",961,756,0,1717,1,0,1,0,3,1,"Gd",7,"Typ","Gd","Detchd",1998,"Unf",3,642,"TA","Y",0,35,272,0,0,2,2006,"WD","Abnorml",140000
"5","FR2","Gtl","NoRidge","Norm","1Fam","2Story",8,5,2000,2000,"Gable","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","TA","Av","GLQ",0,490,1145,"GasA","Ex","Y","SBrkr",1145,1053,0,2198,1,0,2,1,4,1,"Gd",9,"Typ","TA","Attchd",2000,"RFn",3,836,"TA","Y",192,84,0,0,0,12,2008,"WD","Normal",250000
"6","Inside","Gtl","Mitchel","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","GLQ",0,64,796,"GasA","Ex","Y","SBrkr",796,566,0,1362,1,0,1,1,1,1,"TA",5,"Typ","Ex","Attchd",1993,"Unf",2,480,"TA","Y",40,30,0,320,700,10,2009,"WD","Normal",143000
"7","Inside","Gtl","Somerst","Norm","1Fam","1Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","TA","Av","GLQ",0,317,1686,"GasA","Ex","Y","SBrkr",1694,0,0,1694,1,0,2,0,3,1,"Gd",7,"Typ","Gd","Attchd",2004,"RFn",2,636,"TA","Y",255,57,0,0,0,8,2007,"WD","Normal",307000
"8","Corner","Gtl","NWAmes","Norm","1Fam","2Story",7,6,1973,1973,"Gable","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Gd","TA","Mn","ALQ",32,216,1107,"GasA","Ex","Y","SBrkr",1107,983,0,2090,1,0,2,1,3,1,"TA",7,"Typ","TA","Attchd",1973,"RFn",2,484,"TA","Y",235,204,228,0,350,11,2009,"WD","Normal",200000
"9","Inside","Gtl","OldTown","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,952,952,"GasA","Gd","Y","FuseF",1022,752,0,1774,0,0,2,0,2,2,"TA",8,"Min1","TA","Detchd",1931,"Unf",2,468,"TA","Y",90,0,205,0,0,4,2008,"WD","Abnorml",129900
"10","Corner","Gtl","BrkSide","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","GLQ",0,140,991,"GasA","Ex","Y","SBrkr",1077,0,0,1077,1,0,1,0,2,2,"TA",5,"Typ","TA","Attchd",1939,"RFn",1,205,"TA","Y",0,4,0,0,0,1,2008,"WD","Normal",118000
"11","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,5,1965,1965,"Hip","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec",0,134,1040,"GasA","Ex","Y","SBrkr",1040,0,0,1040,1,0,1,0,3,1,"TA",5,"Typ","TA","Detchd",1965,"Unf",1,384,"TA","Y",0,0,0,0,0,2,2008,"WD","Normal",129500
"12","Inside","Gtl","NridgHt","Norm","1Fam","2Story",9,5,2005,2006,"Hip","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","GLQ",0,177,1175,"GasA","Ex","Y","SBrkr",1182,1142,0,2324,1,0,3,0,4,1,"Ex",11,"Typ","Gd","BuiltIn",2005,"Fin",3,736,"TA","Y",147,21,0,0,0,7,2006,"New","Partial",345000
"13","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,6,1962,1962,"Hip","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",0,175,912,"GasA","TA","Y","SBrkr",912,0,0,912,1,0,1,0,2,1,"TA",4,"Typ","TA","Detchd",1962,"Unf",1,352,"TA","Y",140,0,0,0,0,9,2008,"WD","Normal",144000
"14","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,2006,2007,"Gable","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av","Unf",0,1494,1494,"GasA","Ex","Y","SBrkr",1494,0,0,1494,0,0,2,0,3,1,"Gd",7,"Typ","Gd","Attchd",2006,"RFn",3,840,"TA","Y",160,33,0,0,0,8,2007,"New","Partial",279500
"15","Corner","Gtl","NAmes","Norm","1Fam","1Story",6,5,1960,1960,"Hip","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","BLQ",0,520,1253,"GasA","TA","Y","SBrkr",1253,0,0,1253,1,0,1,1,2,1,"TA",5,"Typ","Fa","Attchd",1960,"RFn",1,352,"TA","Y",0,213,176,0,0,5,2008,"WD","Normal",157000
"16","Corner","Gtl","BrkSide","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,832,832,"GasA","Ex","Y","FuseA",854,0,0,854,0,0,1,0,2,1,"TA",5,"Typ","TA","Detchd",1991,"Unf",2,576,"TA","Y",48,112,0,0,0,7,2007,"WD","Normal",132000
